classe	lignee	gc_observe	vu	gc_eq	S	S_lo	S_hi
intergenique	Caprae_La2	62.584927762592734	0.6292934732638935	61.376296929290646	0.05129329438755048	-0.9166876360270139	0.8754687373538999
intergenique	Orygis_La3	62.584927762592734	0.892959472821297	52.82733277483136	0.4012367719986432	-0.010932089495810425	0.8109302162163285
intergenique	Microti	62.584927762592734	0.797105066134265	55.645049298708514	0.28768207245178085	-0.20589669805781372	0.8803884664056222
0fold_pos2	L1	49.05219304887985	2.0514670081742783	32.77112278524386	0.6806383308682366	0.5209873220316074	0.8576465619121003
0fold_pos2	L2	49.05219304887985	1.1010949990320205	47.594230649290125	0.058388318238154206	-0.17739801623109958	0.28185675719225983
0fold_pos2	L3	49.05219304887985	1.7081327706616498	36.92581142377596	0.49748400682841637	0.30909720876564417	0.6864227702960464
0fold_pos2	L4	49.05219304887985	1.3840315144585016	41.94575423752884	0.2870838074025275	0.08591498610180251	0.4877511886189321
0fold_pos2	L5	49.05219304887985	1.7545235458203754	36.30391911215889	0.5242805161001739	0.3006123055679172	0.7467794276708652
0fold_pos2	L6	49.05219304887985	1.9657315208810897	33.718493833956686	0.6379476312053297	0.4129317628527782	0.8785554646072474
0fold_pos2	L7	49.05219304887985	1.1753086289746342	45.97048835646671	0.12361395596717643	-0.18642318518330558	0.4266483447104834
0fold_pos2	L9	49.05219304887985	2.312113719446965	30.192200048220972	0.8002453161163124	0.498232053800437	1.1088331017928137
0fold_pos2	Bovis	49.05219304887985	1.0229077919546676	49.43379050578147	-0.015267472130788533	-0.2662963847523428	0.25254265558804917
0fold_pos2	Caprae_La2	49.05219304887985	1.1620481816295372	46.25243824336511	0.11226730187108101	-0.23133196620013724	0.5920510636885763
0fold_pos2	Orygis_La3	49.05219304887985	1.0035027164334918	49.91258518381929	-0.03442022388647942	-0.3124909634789879	0.2550118055303817
0fold_pos2	Microti	49.05219304887985	1.069419496682863	48.32273019573515	0.02919915469226235	-0.2861574137385576	0.4291911621191189
0fold_pos2	La4	49.05219304887985	0.8122735247356	55.17930855089295	-0.24583496251628065	-0.8212414443228101	0.41058020877493007
