loss	gain	vu	vu_lo	vu_hi	gc_eq	gc_eq_lo	gc_eq_hi	se_log	lignee	classe	n_souches	reportable
557	418	1.3840315144585016	1.131825488956906	1.6915884668778858	41.94575423752884	37.152782169554776	46.90815478002827	0.10233032213046159	L4	0fold_pos2	40	True
547	92	1.3462445860614407	0.9287552648906959	2.0243353060351277	42.62130239706446	33.06511675489414	51.8469096729424	0.19704235499313813	L5	4fold	40	True
973	416	1.6912836592803053	1.4477114494680428	1.9907327049784473	37.15698999441095	33.43662234794087	40.85448880084817	0.08217065337145521	L5	0fold	40	True
190	70	1.6226781703447537	1.1128456802707936	2.4785449391424046	38.12896341256194	28.7476521791476	47.32953330845415	0.2046117363565267	L5	intergenique	40	True
424	251	1.7545235458203754	1.4028826082464234	2.1917410933609123	36.30391911215889	31.330862082769915	41.61668142122766	0.11300784053159603	L5	0fold_pos2	40	True
648	115	1.275855929459325	0.9391739645667043	1.8197918142769225	43.939512473338766	35.463610999113044	51.5683491152607	0.1696666705396211	L6	4fold	40	True
1174	468	1.8139244179468572	1.5414450912367557	2.165829539806377	35.537557214476884	31.587297655361454	39.34769251746317	0.08742475553646087	L6	0fold	40	True
262	93	1.6842058655417536	1.195543509735825	2.467142788555184	37.254966649071456	28.842192577154186	45.54680859503091	0.18452631187126783	L6	intergenique	40	True
511	270	1.9657315208810897	1.5696435932945458	2.500453923277527	33.718493833956686	28.567723555797734	38.91590268041404	0.11819519885710099	L6	0fold_pos2	40	True
244	39	1.416608000183154	0.8915250453201837	2.5524689956444657	41.38031488450797	28.149436384274104	52.86739408891766	0.268904044451303	L7	4fold	40	True
383	243	1.1396971010104613	0.9060612597144114	1.4276590177391766	46.735586991623954	41.19194634390118	52.46421094303295	0.11565497618960599	L7	0fold	40	True
75	48	0.9341074993760917	0.5462806304297315	1.610834538199455	51.70343428804149	38.30192933979046	64.67131388188488	0.278076866608539	L7	intergenique	40	True
172	152	1.1753086289746342	0.861994520482835	1.5913220755780413	45.97048835646671	38.590340020814736	53.705850849694734	0.1556340801712596	L7	0fold_pos2	40	True
2	3	0.15095003280640165	0.03773750820160041	0.6792751476288075	86.88474490605513	59.54950273706089	96.363482296501	0.7480285530610095	L8	4fold	4	False
5	1	3.61548819250055	0.72309763850011	8.67717166200132	21.66618044056194	10.333597821010354	58.03501656879185	0.6843569621165213	L8	0fold	4	False
1	0								L8	intergenique	4	False
1	1	1.0386448349078163	0.2596612087269541	4.154579339631265	49.05219304887985	19.400225199977918	79.38642494283249	0.7033889422256494	L8	0fold_pos2	4	False
328	41	1.8114003936768197	1.2320119905508014	2.9728200326122023	35.569462188634574	25.171036991134017	44.80262669884791	0.22266449449508707	L9	4fold	36	True
573	197	2.1032230805104724	1.6939324411281491	2.597597810552122	32.224560531288084	27.796325566657224	37.120455759507685	0.10966120980664612	L9	0fold	36	True
111	35	1.8959713358765018	1.1956575992013976	3.487690514813357	34.53072851970538	22.28317654034104	45.54444191861787	0.26742281398592616	L9	intergenique	36	True
256	115	2.312113719446965	1.7094110122413182	3.147945197996017	30.192200048220972	24.10832236846154	36.90839062371587	0.1527913589848683	L9	0fold_pos2	36	True
262	86	0.6898065452664635	0.4507788238213217	1.0669545297738845	59.1783717965367	48.38035794185543	68.92849437697336	0.21762513502331565	Bovis	4fold	40	True
420	343	0.885425679796053	0.7274786865042239	1.0759109940198541	53.038420485933464	48.17162213990547	57.88783432249628	0.09849289705894432	Bovis	0fold	40	True
103	69	0.8924111066503184	0.6090799108435837	1.4148716595447761	52.84264061259185	41.41006815196583	62.14731743656755	0.2151687563545217	Bovis	intergenique	40	True
195	198	1.0229077919546676	0.7958221365458157	1.3370416850534845	49.43379050578147	42.789138353649626	55.68480194388603	0.13238601252247825	Bovis	0fold_pos2	40	True
114	31	0.8326598583836995	0.46843959318662465	2.1133004592896234	54.5654991800793	32.12025350833549	68.09949858610966	0.384901265132265	Caprae_La2	4fold	40	True
232	163	1.0291941848590522	0.8195065437834096	1.4379973677265239	49.280645857432326	41.017271521196015	54.959956226408494	0.14330761011126425	Caprae_La2	0fold	40	True
40	38	0.6292934732638935	0.23903662638002543	1.434789119041677	61.376296929290646	41.07131875115311	80.70786437698813	0.4588069203397265	Caprae_La2	intergenique	40	True
113	101	1.1620481816295372	0.8241397646981559	1.8775502784872062	46.25243824336511	34.75178200972123	54.8203607723815	0.21084956383358858	Caprae_La2	0fold_pos2	40	True
323	82	0.8918937913988001	0.6496207015692603	1.2520195294579202	52.85708978729905	44.404588278180185	60.61999579956256	0.16412650063039755	Orygis_La3	4fold	40	True
574	437	0.9497895755127304	0.776265497426981	1.1625260277345686	51.28758572509205	46.24221799760652	56.29789023367033	0.10411108153382019	Orygis_La3	0fold	40	True
118	79	0.892959472821297	0.5913288752715475	1.3451147991015722	52.82733277483136	42.64183571666113	62.840561466551534	0.20460372333074486	Orygis_La3	intergenique	40	True
257	266	1.0035027164334918	0.759895660925344	1.340347120581648	49.91258518381929	42.72870426808606	56.82155040226676	0.14329810686024652	Orygis_La3	0fold_pos2	40	True
118	45	0.5937367957051798	0.3632194498985719	1.1527093414307035	62.745617889654774	46.453089637052166	73.35576088460323	0.29008204736969123	Microti	4fold	32	True
290	222	0.9445870052478915	0.6612326460911689	1.4324491727695845	51.42480111721832	41.110828180693325	60.19626464438742	0.19812783651738647	Microti	0fold	32	True
52	39	0.797105066134265	0.4865831134540716	1.4418652848906086	55.645049298708514	40.95230012022544	67.2683545877568	0.27208504501003394	Microti	intergenique	32	True
139	135	1.069419496682863	0.7801722162208097	1.5953736660989166	48.32273019573515	38.53009734444486	56.174340374940535	0.18463506565408408	Microti	0fold_pos2	32	True
27	6	1.0189127214432112	0.3840952613611353	4.075650885772845	49.531611217207754	19.701906661922333	72.24936230303892	0.5804883929018365	Pinnipedii	4fold	15	False
30	15	1.44619527700022	0.5875168312813394	4.097553284833957	40.879810757639284	19.617254477263852	62.99145812475359	0.4871702257221367	Pinnipedii	0fold	15	False
4	5	0.478263039680559	0.07472859995008735	3.5869727976041927	67.64695951649391	21.80087051142546	93.04674687604314	0.9778898425667976	Pinnipedii	intergenique	15	False
17	11	1.6051783812211708	0.37768903087556965	4.777766240575955	38.38508745536467	17.307726868166185	72.58532060493107	0.6434661066039905	Pinnipedii	0fold_pos2	15	False
