a	b	vu_a	vu_b	rapport	p	q_bh
L3	L6	1.5522304106619842	1.7669681453939998	0.8784710775393558	0.1828	0.3187282051282051
L7	Suricattae	1.1756799425870612	2.038144298668868	0.576838422752947	0.2022289766970618	0.34814102317468865
La4	Orygis_La3	0.8085769588907032	0.9468214007764908	0.8539910042459825	0.23996789727126805	0.4079454253611557
Dassie	L7	1.7274770542374547	1.1756799425870612	1.4693429662805801	0.25255562236921225	0.4240440079285539
L4	Suricattae	1.3017000365462965	2.038144298668868	0.6386692234678623	0.2573454913880446	0.42681691254602516
Caprae_La2	La4	0.9490658804289023	0.8085769588907032	1.1737483612332182	0.28170144462279295	0.46158308998433545
Bovis	La4	0.9255803806596564	0.8085769588907032	1.1447028888004322	0.32062600321027285	0.5191087671023465
L8	L9	1.235238968890223	2.1157640242741023	0.5838264356130269	0.35304713299309515	0.5648754127889523
L1	L8	2.052818915122267	1.235238968890223	1.6618799817873162	0.3638546982888022	0.5753981275264778
Dassie	L4	1.7274770542374547	1.3017000365462965	1.3270930365960814	0.3740228502705953	0.5846793981241489
L4	L7	1.3017000365462965	1.1756799425870612	1.1071891161823604	0.3892	0.5968050141404876
L7	Pinnipedii	1.1756799425870612	1.6146337950493628	0.7281403041307692	0.3905562224889956	0.5968050141404876
L9	Pinnipedii	2.1157640242741023	1.6146337950493628	1.3103677321515612	0.40816326530612246	0.6167800453514739
L1	Pinnipedii	2.052818915122267	1.6146337950493628	1.2713835926241766	0.4413765506202481	0.645453880476922
L3	Suricattae	1.5522304106619842	2.038144298668868	0.7615900462375315	0.4376899696048632	0.645453880476922
L8	La4	1.235238968890223	0.8085769588907032	1.5276702548943055	0.43530471329930953	0.645453880476922
L2	Microti	0.9771747535055546	0.8637855922084788	1.1312700308037886	0.4748	0.6869446808510639
L8	Microti	1.235238968890223	0.8637855922084788	1.4300296046059682	0.49414590213149207	0.7000400280196137
L3	L5	1.5522304106619842	1.654450058441065	0.9382153318817015	0.4892	0.7000400280196137
