lignee	replicat	n	portee	profondeur	largeur	pn_ps_term	pn_ps_int	pi	n_syn_term	n_nonsyn_term
L3	1	16	64	35.0625	144.49166666666667	0.8152549239959581	0.8795025059558774	3.69266435263392e-05	223	338
L3	2	41	63	33.48780487804878	172.39512195121952	0.8058087134436042	0.7428571357585575	4.405771876559749e-05	541	832
L3	3	24	24	33.875	168.15579710144928	0.9298374784291212	0.7927875194560666	4.297430654445567e-05	293	520
L3	4	21	32	34.76190476190476	201.8761904761905	0.8554503800275581	0.8495143302927499	5.159197270086837e-05	277	453
L3	5	17	61	33.588235294117645	178.41176470588235	0.7809551448153311	0.7942389969530242	4.5595346694959735e-05	230	341
L3	6	16	76	34.125	167.775	0.7787245461013607	0.7777739321574133	4.2876989106395246e-05	219	327
L3	7	27	59	34.48148148148148	151.24786324786325	0.7970100261587058	0.7875922398385494	3.865327363936338e-05	374	557
L3	8	28	29	33.392857142857146	120.94444444444444	0.8682865786610808	0.9319699954387183	3.090885785679314e-05	358	577
L3	9	46	67	35.23913043478261	178.79420289855074	0.8090918298886398	0.8144044866839919	4.569308353430357e-05	636	985
L3	10	46	67	32.76086956521739	177.88888888888889	0.8606567803978543	0.742990450619498	4.546171927306001e-05	573	934
L3	11	32	83	34.71875	181.73387096774192	0.8805306634015144	0.739155407135562	4.644435229174138e-05	416	695
L3	12	20	29	33.65	125.3578947368421	0.8871622135265113	1.0948273728552815	3.2036770001682136e-05	256	417
L3	13	37	75	35.21621621621622	184.5915915915916	0.8376993814907658	0.848385650980198	4.717467835973675e-05	500	803
L3	14	22	30	35.40909090909091	128.99134199134198	0.908877226802766	1.0632181906075224	3.296534266357964e-05	290	489
L3	15	34	64	35.26470588235294	174.54901960784315	0.8182508043980378	0.7828194829485988	4.460817411567552e-05	466	733
L3	16	44	70	33.54545454545455	181.07505285412262	0.8176538937390304	0.7653295422844686	4.627598312422089e-05	575	901
L3	17	35	63	34.91428571428571	152.2016806722689	0.7928573709620564	0.8042807958962978	3.88970335518398e-05	489	733
L3	18	20	23	34.05	180.49473684210525	0.8671366897613967	0.8600405683966875	4.6127676145675e-05	257	424
L3	19	24	39	34.041666666666664	167.94565217391303	0.8288776722406451	1.022645516141399	4.292060139309977e-05	319	498
L3	20	20	22	34.65	120.22105263157894	0.9205817326137289	0.8672113048374167	3.0723986076850426e-05	258	435
L3	21	24	30	33.208333333333336	123.06159420289855	0.83496640631896	1.053641075319122	3.144992182418902e-05	312	485
L3	22	40	65	35.55	169.3653846153846	0.8278288489527034	0.8577917788006476	4.328343168621241e-05	550	872
L3	23	42	73	35.357142857142854	181.2903600464576	0.8161480886311244	0.7820888474316426	4.63310075565873e-05	581	904
L3	24	17	35	34.88235294117647	127.86764705882354	0.9036323993207316	0.9604236606851699	3.267816843988418e-05	220	373
L3	25	34	61	33.38235294117647	152.28163992869875	0.8061338562409159	0.824889148966886	3.891746813486407e-05	446	689
L3	26	34	35	32.85294117647059	155.02139037433156	0.8188289144533046	1.0542991459516933	3.9617645455750016e-05	445	672
L3	27	19	31	34.526315789473685	130.3859649122807	0.8940052696821907	1.123957434631157	3.332175590624761e-05	244	412
L3	28	27	59	32.81481481481482	147.27065527065528	0.90270995646518	0.8419046856940499	3.763684864688765e-05	325	561
L3	29	29	37	35.3448275862069	151.76354679802955	0.8642029206876947	1.0153244452839403	3.878506298797209e-05	395	630
L4	0	33	53	33.45454545454545	278.7878787878788	0.8144012838823322	0.9160978840507535	7.1247711767444e-05	428	676
L4	1	33	109	32.57575757575758	273.4318181818182	0.8609396567021169	0.820540743302261	6.987890382669446e-05	400	675
L4	2	42	53	35.76190476190476	285.0569105691057	0.8736133119467336	0.8895111591898192	7.284984085337046e-05	557	945
